timestamp,converged,minimum_voltage_pu,maximum_voltage_pu,undervoltage_bus_count,overvoltage_bus_count,maximum_line_loading_percent,maximum_transformer_loading_percent,active_line_losses_kw,grid_import_kw,pv_generation_kw,battery_charge_kw,battery_discharge_kw,curtailed_pv_kw,mean_soc,minimum_soc,maximum_soc
2000-03-13 08:15:00,True,0.9677952221399607,1.0,0,0,6.487698196125,31.35071984148273,1.5318666259850349,149.99456216943963,84.37352234326343,6.434382024798857,0.0,0,0.12934856724388902,0.09999999999999999,0.25414696028964723
2000-03-13 08:30:00,True,0.9700617648321465,1.0,0,0,6.253232654061612,26.747060582321197,1.3037776351117623,129.16163824904015,92.45158033938802,0.0,0.0,0,0.12934856724388902,0.09999999999999999,0.25414696028964723
2000-03-13 08:45:00,True,0.9745605346029848,1.0,0,0,5.477631203739142,24.715561008332845,0.9434135423278347,107.50824674529302,100.13374647507449,1.8092705457591745,0.0,0,0.13102472470894125,0.09999999999999999,0.26250734102121603
2000-03-13 09:00:00,True,0.9766092768377662,1.0,0,0,5.295862836822434,23.302734879514055,0.9194138029056593,95.27103291268956,107.38712453554228,2.7128959070339085,0.0,0,0.1338652666350668,0.09999999999999999,0.27216654984969496
2000-03-13 09:15:00,True,0.976828449368176,1.0,0,0,5.166661076357762,23.10034720288364,0.8193988150382062,92.38794830142938,114.18065444237757,10.900390319648,0.0,0,0.14403435909704496,0.09999999999999999,0.3233568604384704
2000-03-13 09:30:00,True,0.9759666123674526,1.0,0,0,5.262783064688394,23.941625823960866,0.9186413039124859,95.54884036873968,120.48524525755765,14.964308999955499,0.0,0,0.15848362786640316,0.09999999999999999,0.380870527813579
2000-03-13 09:45:00,True,0.9754282008586204,1.0,0,0,5.330656498201277,25.160130212010813,0.8785747550638775,96.20662923784651,126.27389975531345,20.314610905292053,0.0,0,0.1758825615182008,0.1028244102532798,0.44958746306957637
2000-03-13 10:00:00,True,0.9748057107242085,1.0,0,0,5.344543698546682,25.894274576471737,0.9090190531203218,174.75102692021773,131.52183002839527,22.98076886139622,0.0,0,0.2007933059474795,0.1028244102532798,0.5147061246096462
2000-03-13 10:15:00,True,0.9756161052407336,1.0,0,0,5.3315637951570825,24.330706329995483,0.9724284733016944,179.4215961911556,136.2065636336968,25.81923359267849,0.0,0,0.22713175245678555,0.1028244102532798,0.5816426568925381
2000-03-13 10:30:00,True,0.9767148327795555,1.0,0,0,5.06059968623414,24.01112239679326,0.8958580481110496,97.59151796199971,140.30803982270677,24.341969275264205,0.0,0,0.24912871573133213,0.1028244102532798,0.6382407609567765
2000-03-13 10:45:00,True,0.9760933284381483,1.0,0,0,5.176341726645657,23.657715143205635,0.9253108749920007,90.84923907265986,143.80869544471375,30.807953156159876,0.0,0,0.2750628348033081,0.10853405512048615,0.7111129033666491
2000-03-13 11:00:00,True,0.9756275473662778,1.0,0,0,5.280794766499463,24.410448187902556,0.9796196299639449,97.43405372748337,146.6935401549139,66.90887300783896,0.0,0,0.30721046081776016,0.15917665657013194,0.7877496797380267
2000-03-13 11:15:00,True,0.9750704978577324,1.0,0,0,5.350301482869586,25.00240395586804,1.0070228287766803,96.47143480905784,148.9502206053687,80.01803927710417,0.0,0,0.3424441211255258,0.195495776856708,0.8670938105580744
2000-03-13 11:30:00,True,0.9745695455878721,1.0,0,0,5.393759920398837,26.05966688003346,0.9932572085602732,91.63110789352658,150.56907334393745,79.22412993751587,0.0,0,0.3738322666886054,0.20494259856311264,0.8999999999999999
2000-03-13 11:45:00,True,0.9739894974338179,1.0047564773329956,0,0,5.535183848746637,26.435394015335806,1.1415788858935485,83.68871449871973,151.54316619466277,75.88154419222126,0.0,0,0.40237425365377405,0.21910509920643167,0.8999999999999999
2000-03-13 12:00:00,True,0.9744511511177134,1.0000470765368106,0,0,5.529609466411685,25.638027017277683,1.094137857244123,142.21939038895903,151.86832794241244,12.464692911278735,0.0,0,0.41560749173494466,0.2261588910380588,0.8999999999999999
2000-03-13 12:15:00,True,0.9749196556746453,1.0004610355533197,0,0,5.2312834073184264,24.547867741464476,1.0222361963118987,108.74392508987785,151.54316619466277,9.51806819249033,0.0,0,0.42516996665640444,0.23201364280092268,0.8999999999999999
2000-03-13 12:30:00,True,0.975490468041619,1.0,0,0,5.07652742472419,23.579251394604828,1.0133287281234513,99.91886012766793,150.56907334393745,8.70068926143874,0.0,0,0.4337571097201303,0.23818285347348103,0.8999999999999999
2000-03-13 12:45:00,True,0.9757365229463021,1.0021761643245009,0,0,5.099881144600647,24.105629908981154,0.9989797622617451,85.77452791420615,148.9502206053687,12.218384312031741,0.0,0,0.4503660846309608,0.24387245695748233,0.8999999999999999
2000-03-13 13:00:00,True,0.9757211613107255,1.0032930750651945,0,0,5.020963347924016,23.754191334629297,0.9394385131909319,75.28741543909767,146.6935401549139,49.157415369976626,0.0,0,0.48011420347273487,0.2809076677147579,0.8999999999999999
2000-03-13 13:15:00,True,0.9762662722051239,1.0045212214104906,0,0,4.879341671964324,23.357974098603766,0.8835840019472742,72.29120756050955,143.80869544471378,65.13241152318845,0.0,0,0.5155963073224136,0.3453346615894881,0.8999999999999999
2000-03-13 13:30:00,True,0.978014134754764,1.0031827600142473,0,0,3.9881860487219716,21.912094489697985,0.6868414690066905,69.34308831812564,140.3080398227068,66.67665711524396,0.0,0,0.5506327976834516,0.41068268309978617,0.8999999999999999
